,infraction_code,location2,count,fine_sum,fine_descrp,lat,lng,address
51,1,167 DYNEVOR RD,6,180.0,PARK FAIL TO DEPOSIT FEE METER,43.6954855,-79.45119249999999,167 Dynevor Rd York ON M6E 2J5 Canada
52,1,168 PRINCESS ST,22,660.0,PARK FAIL TO DEPOSIT FEE METER,43.6521524,-79.36743589999999,168 Princess St Toronto ON M5A 1N3 Canada
53,1,17 KEEWATIN AVE,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.7122229,-79.3988814,17 Keewatin Ave Toronto ON M4P 1Z9 Canada
54,1,17 WHITLEY AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.729079,-79.4582545,17 Whitley Ave North York ON M3K 1A1 Canada
55,1,1718 DUNDAS ST W,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6502012,-79.43853399999999,1718 Dundas St W Toronto ON M6K 1V5 Canada
56,1,1722 DUNDAS ST W,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.65026839999999,-79.43889229999999,1722 Dundas St W Toronto ON M6K 1V5 Canada
57,1,1765 WESTON RD,5,150.0,PARK FAIL TO DEPOSIT FEE METER,43.6990692,-79.5121187,1765 Weston Rd York ON M9N 3P7 Canada
58,1,1775 WESTON RD,8,240.0,PARK FAIL TO DEPOSIT FEE METER,43.6993306,-79.51299929999999,1775 Weston Rd York ON M9N 3P8 Canada
59,1,1786 BUTTONWOOD AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6894865,-79.5050511,Buttonwood Ave Toronto ON M6M Canada
60,1,18 BALES AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7589378,-79.4092003,18 Bales Ave North York ON M2N 4S8 Canada
61,1,181 GOWAN AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6884223,-79.34787209999999,181 Gowan Ave East York ON M4J 2K7 Canada
62,1,183 CARLTON ST,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6632851,-79.3711775,183 Carlton St Toronto ON M5A 2K7 Canada
63,1,19 CRAIGHURST AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7152532,-79.4007764,19 Craighurst Ave Toronto ON M4R 1J9 Canada
64,1,19 WHITLEY AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.729079,-79.4582545,19 Whitley Ave North York ON M3K 1A1 Canada
65,1,195 ROE AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7323684,-79.4189894,195 Roe Ave Toronto ON M5M 2J1 Canada
66,1,2 BEDFORD PARK AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7274155,-79.40301459999999,2 Bedford Park Ave Toronto ON M5M 1H9 Canada
67,1,2 BRUNSWICK AVE,18,540.0,PARK FAIL TO DEPOSIT FEE METER,43.6572123,-79.4040605,2 Brunswick Ave Toronto ON M5T 3A9 Canada
68,1,2 COLLINSON BLVD,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7376597,-79.4375737,2 Collinson Blvd North York ON M3H 3B8 Canada
69,1,2 CRAIGHURST AVE,4,120.0,PARK FAIL TO DEPOSIT FEE METER,43.7155229,-79.4006131,2 Craighurst Ave Toronto ON M4R 1J8 Canada
70,1,2 ERSKINE AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7111491,-79.3990358,2 Erskine Ave Toronto ON M4P Canada
71,1,2 GLENFOREST RD,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7304531,-79.403179,2 Glenforest Rd Toronto ON M4N 1Z8 Canada
72,1,2 HOWLAND AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6656852,-79.4086713,2 Howland Ave Toronto ON Canada
73,1,2 KEEWATIN AVE,6,180.0,PARK FAIL TO DEPOSIT FEE METER,43.7124779,-79.39926179999999,2 Keewatin Ave Toronto ON M4P 1Z8 Canada
74,1,2 ONSLOW CRES,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.69315719999999,-79.4434727,2 Onslow Crescent Toronto ON M6E 2A3 Canada
75,1,2 PARKE ST,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7060701,-79.5311559,2 Parke St York ON M9N 1Z7 Canada
76,1,2 WESTMORELAND AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.66103880000001,-79.4304677,2 Westmoreland Ave Toronto ON M6H Canada
77,1,20 BALES AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7590262,-79.4092098,20 Bales Ave North York ON M2N 4S8 Canada
78,1,2036 EGLINTON AVE W,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.69443,-79.4565831,2036 Eglinton Ave W York ON M6E 2K5 Canada
79,1,21 ALBERTUS AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.714313,-79.4005967,21 Albertus Ave Toronto ON M4R 1J5 Canada
80,1,2260 EGLINTON AVE W,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6930495,-79.4628436,2260 Eglinton Ave W York ON M6E 2L3 Canada
